Nama Depan,Nama Belakang,Email,Kota,Tanggal Pembelian,Produk Yang Dibeli,Total Penjualan,Nomor Penjualan,Jumlah Pembelian,Rating,Jasa Pengiriman,Customer Baru,Sales Person,Sales,Kode Sales,Nama Depan,Nama Belakang,#,SKU,Nama,Harga
Abdul,Mulya,Mulya@livex.com,Padangpanjang,12-02-2018,KP0625AF,"Rp84,000,000",36759,7,1,Wakanda Express,Y,My-559,559,120,Henry,S.,,,,
"Elizabeth,",Santoso,Santoso@gmailx.com,Parepare,12-01-2018,KP0925SG,"Rp90,000,000",36820,6,5,Wakanda Express,Y,Al-290,290,512,Sharecorp,Bruce,,,,
Jocelin,Suwignjo,Jocelin@ymailx.com,Subulussalam,12-01-2018,KP0925SG,"Rp45,000,000",36317,3,4,JENT,Y,Gx-101,101,444,Sinatra,Vinod,,,,
Albert,Asiah,Asiah@livex.com,Bukittinggi,12-01-2018,KP0750AJ,"Rp90,000,000",36221,5,N/A,JENT,Y,Ln-559,559,,,,,,,
Joe,Kohar,Joe@ymailx.com,Ternate,12-01-2018,KP0150BH,"Rp108,000,000",35896,4,4,Wakanda Express,Y,Ax-160,160,,,,,,,
Leny,Sutedja,Sutedja@mex.com,Tomohon,28-11-2018,KP0625AF,"Rp36,000,000",35988,3,5,Wakanda Express,Y,Cc-221,221,,,,,,,
Michael,Arie,Michael@livex.com,Gorontalo,28-11-2018,KP0625AF,"Rp36,000,000",36925,3,4,JENT,Y,Vg-983,983,,,,,,,
Hendra,Tjing,Tjing@ymailx.com,Ternate,27-11-2018,KP0850FB,"Rp147,000,000",36152,7,4,Swift Delivery,Y,Pv-160,160,,,,,,,
Mohit,Namara,Namara@livex.com,Bandar Lampung,27-11-2018,KP0850FB,"Rp189,000,000",35379,9,N/A,JENT,Y,Zp-150,150,,,,,,,
Hetty,Magnus,Magnus@ymailx.com,Semarang,27-11-2018,KP0750AJ,"Rp126,000,000",35486,7,N/A,Pru Logistic,Y,Wg-410,410,,,,,,,
Ratnawati,Bayu,Ratnawati@gmailx.com,Malang,26-11-2018,KP0150BH,"Rp81,000,000",36492,3,3,Cepat Kirim,N,Zl-123,123,,,,,,,
Russel,Sari,Russel@ymailx.com,Tegal,25-11-2018,KP0850FB,"Rp147,000,000",35763,7,N/A,Pru Logistic,N,Kk-410,410,,,,,,,
Diana,Widjaja,Widjaja@ymailx.com,Dumai,25-11-2018,KP0750AJ,"Rp108,000,000",36200,6,N/A,Swift Delivery,Y,Mf-222,222,,,,,,,
Andrew,Shyam,Shyam@ymailx.com,Tasikmalaya,24-11-2018,KP0425CB,"Rp245,250,000",35635,9,N/A,Swift Delivery,Y,Zo-409,409,,,,,,,
Cecilia,Kencanawati,Kencanawati@livex.com,Tebingtinggi,23-11-2018,KP0925SG,"Rp90,000,000",36639,6,5,Pru Logistic,Y,Qv-662,662,,,,,,,
Andrew,Karamchandani,Karamchandani@gmailx.com,Batu,21-11-2018,KP0050AG,"Rp81,250,000",35401,5,N/A,Wakanda Express,Y,Mw-123,123,,,,,,,
Andrew,Kalla,Kalla@livex.com,Banda Aceh,21-11-2018,KP0750AJ,"Rp180,000,000",35954,10,N/A,Wakanda Express,Y,Fi-101,101,,,,,,,
Danamon,Prakash,Danamon@ymailx.com,Subulussalam,20-11-2018,KP0625AF,"Rp48,000,000",35789,4,4,Cepat Kirim,Y,Hu-101,101,,,,,,,
Okkie,Alatas,Alatas@outlookx.com,Tangerang,19-11-2018,KP0425CB,"Rp163,500,000",36816,6,N/A,JENT,N,Rh-500,500,,,,,,,
Elly,Winoto,Elly@icloudx.com,Lubuklinggau,18-11-2018,KP0225BB,"Rp20,000,000",36261,2,4,JENT,Y,Ci-661,661,,,,,,,
Ivan,Chondro,Chondro@gmailx.com,Padangpanjang,18-11-2018,KP0850FB,"Rp147,000,000",35409,7,N/A,Pru Logistic,Y,Oz-559,559,,,,,,,
Han,El,EL@ymailx.com,Kupang,16-11-2018,KP0850FB,"Rp63,000,000",36974,3,4,Swift Delivery,Y,Gc-185,185,,,,,,,
Fabian,Denisse,Denisse@gmailx.com,Pagaralam,16-11-2018,KP0150BH,"Rp189,000,000",36471,7,N/A,Swift Delivery,Y,Ux-661,661,,,,,,,
Donny,Nova,Donny@livex.com,Pekanbaru,16-11-2018,KP0750AJ,"Rp180,000,000",35436,10,N/A,Swift Delivery,Y,Xi-222,222,,,,,,,
Kendra,Say,Say@gmailx.com,Gorontalo,15-11-2018,KP0625AF,"Rp120,000,000",36899,10,N/A,Wakanda Express,Y,Lx-983,983,,,,,,,
Mahesa,Chairil,Mahesa@livex.com,Tual,14-11-2018,KP0225BB,"Rp70,000,000",35519,7,N/A,Cepat Kirim,Y,De-171,171,,,,,,,
Johny,Yusuf,YUSUF@ymailx.com,Tegal,13-11-2018,KP0150BH,"Rp270,000,000",35911,10,4,Cepat Kirim,Y,Zv-410,410,,,,,,,
Dominique,Kastono,Kastono@icloudx.com,Bekasi,11-11-2018,KP0850FB,"Rp105,000,000",36932,5,4,Pru Logistic,Y,St-409,409,,,,,,,
Shinta,Berliana,Shinta@livex.com,Manado,11-09-2018,KP0925SG,"Rp150,000,000",35905,10,N/A,Pru Logistic,N,Il-221,221,,,,,,,
Ardy,Ralhan,Ralhan@gmailx.com,Tual,11-09-2018,KP0425CB,"Rp245,250,000",36992,9,4,Pru Logistic,Y,Uw-171,171,,,,,,,
Lucky,Natawindjaja,Lucky@rocketmailx.com,Ternate,11-09-2018,KP0850FB,"Rp126,000,000",35543,6,N/A,JENT,Y,Op-160,160,,,,,,,
Dewi,Dudaney,Dewi@livex.com,Palu,11-07-2018,KP0150BH,"Rp270,000,000",35367,10,1,JENT,Y,Wi-280,280,,,,,,,
Lenny,Gautama,Gautama@icloudx.com,Subulussalam,11-06-2018,KP0225BB,"Rp100,000,000",35696,10,4,JENT,Y,Ds-101,101,,,,,,,
Sri,Surjana,Surjana@outlookx.com,Pagaralam,11-06-2018,KP0425CB,"Rp245,250,000",35873,9,3,Wakanda Express,N,Nl-661,661,,,,,,,
Hendrik,"Wijaya,",Hendrik@gmailx.com,Samarinda,11-03-2018,KP0850FB,"Rp63,000,000",36628,3,N/A,Swift Delivery,Y,Ag-993,993,,,,,,,
Edy,Zaini,Edy@gmailx.com,Palopo,11-02-2018,KP0350CF,"Rp70,000,000",35884,2,N/A,JENT,Y,Om-290,290,,,,,,,
Raju,Pribadi,Raju@livex.com,Cimahi,11-01-2018,KP0050AG,"Rp65,000,000",35388,4,N/A,JENT,N,Nt-409,409,,,,,,,
Jeannie,Limited,Jeannie@ymailx.com,Blitar,11-01-2018,KP0050AG,"Rp32,500,000",35722,2,N/A,Wakanda Express,Y,Tc-123,123,,,,,,,
Kindarto,Lipina,Kindarto@gmailx.com,Bukittinggi,28-10-2018,KP0850FB,"Rp168,000,000",36254,8,2,JENT,Y,Ok-559,559,,,,,,,
Song,Budiman,Budiman@outlookx.com,Bukittinggi,26-10-2018,KP0850FB,"Rp210,000,000",36287,10,4,Swift Delivery,N,Bo-559,559,,,,,,,
Rachmat,Raharja,Rachmat@ymailx.com,Magelang,26-10-2018,KP0625AF,"Rp108,000,000",36224,9,4,Swift Delivery,N,Tm-410,410,,,,,,,
Listyani,Hadi,Listyani@ymailx.com,Jayapura,25-10-2018,KP0050AG,"Rp32,500,000",36016,2,3,Wakanda Express,Y,Hp-990,990,,,,,,,
Drs,Joantina,DRS@gmailx.com,Mataram,24-10-2018,KP0925SG,"Rp135,000,000",35588,9,N/A,Cepat Kirim,Y,Yz-183,183,,,,,,,
Iwa,Miqailla,Miqailla@gmailx.com,Banjarmasin,24-10-2018,KP0850FB,"Rp210,000,000",35079,10,N/A,Wakanda Express,Y,Kk-991,991,,,,,,,
Michael,Agustino,Michael@gmailx.com,Kediri,23-10-2018,KP0925SG,"Rp135,000,000",36328,9,N/A,Swift Delivery,Y,Fh-123,123,,,,,,,
Amelia,Isenta,Isenta@gmailx.com,Sorong,22-10-2018,KP0625AF,"Rp72,000,000",35864,6,N/A,JENT,Y,Df-999,999,,,,,,,
Jusup,Soetikno,Soetikno@ymailx.com,Bima,21-10-2018,KP0050AG,"Rp48,750,000",36255,3,N/A,JENT,Y,Xe-183,183,,,,,,,
Hendriko,Is,Is@gmailx.com,Bau-Bau,20-10-2018,KP0425CB,"Rp109,000,000",35835,4,N/A,JENT,Y,Fj-250,250,,,,,,,
Sri,Rais,Sri@rocketmailx.com,Kediri,17-10-2018,KP0750AJ,"Rp72,000,000",36435,4,5,Cepat Kirim,N,Pb-123,123,,,,,,,
Jahja,Tjung,Jahja@gmailx.com,Jakarta Selatan,16-10-2018,KP0350CF,"Rp140,000,000",35147,4,N/A,Wakanda Express,Y,Sd-333,333,,,,,,,
Raymond,Robert,Raymond@ymailx.com,Mataram,16-10-2018,KP0925SG,"Rp120,000,000",35819,8,4,JENT,N,Na-183,183,,,,,,,
Betty,"Eti,",ETI@outlookx.com,Serang,15-10-2018,KP0050AG,"Rp113,750,000",35721,7,5,JENT,Y,Kp-500,500,,,,,,,
Angie,Yanto,Yanto@ymailx.com,Tual,15-10-2018,KP0625AF,"Rp36,000,000",35029,3,N/A,JENT,Y,Db-171,171,,,,,,,
Budi,Atman,Budi@ymailx.com,Medan,15-10-2018,KP0850FB,"Rp126,000,000",36292,6,4,Wakanda Express,Y,Zz-662,662,,,,,,,
Roni,Zaini,Roni@ymailx.com,Tanjungpinang,14-10-2018,KP0150BH,"Rp162,000,000",35113,6,N/A,JENT,N,St-809,809,,,,,,,
Agus,Suryadi,Suryadi@livex.com,Ternate,14-10-2018,KP0625AF,"Rp96,000,000",35155,8,N/A,JENT,Y,Fs-160,160,,,,,,,
Clarence,Paasch,Paasch@outlookx.com,Bau-Bau,14-10-2018,KP0850FB,"Rp42,000,000",35440,2,4,JENT,Y,Nn-250,250,,,,,,,
Isenta,Faridz,Isenta@ymailx.com,Tangerang Selatan,13-10-2018,KP0625AF,"Rp36,000,000",36626,3,N/A,JENT,Y,Wr-500,500,,,,,,,
Nigel,Widjaya,Nigel@rocketmailx.com,Tangerang Selatan,10-09-2018,KP0750AJ,"Rp180,000,000",35160,10,N/A,Wakanda Express,N,Dh-500,500,,,,,,,
Chan,Leman,Leman@gmailx.com,Tasikmalaya,10-08-2018,KP0750AJ,"Rp126,000,000",35015,7,4,Swift Delivery,Y,Xn-409,409,,,,,,,
Hengky,Alexander,Hengky@gmailx.com,Pekalongan,10-07-2018,KP0625AF,"Rp60,000,000",36905,5,4,Cepat Kirim,Y,Yt-410,410,,,,,,,
Mochamad,Kahar,Mochamad@mex.com,Magelang,10-06-2018,KP0750AJ,"Rp126,000,000",36673,7,N/A,Pru Logistic,Y,Qr-410,410,,,,,,,
Edward,Goenawan,Goenawan@ymailx.com,Lhokseumawe,10-05-2018,KP0625AF,"Rp108,000,000",36494,9,N/A,Swift Delivery,Y,Lg-101,101,,,,,,,
Johanes,Wewengkang,Wewengkang@ymailx.com,Tebingtinggi,10-04-2018,KP0925SG,"Rp120,000,000",36262,8,N/A,JENT,Y,Li-662,662,,,,,,,
Henny,Salim,Salim@ymailx.com,Tanjungpinang,10-04-2018,KP0925SG,"Rp60,000,000",35161,4,N/A,JENT,Y,Wd-809,809,,,,,,,
Nicholas,Buhay,Buhay@icloudx.com,Palembang,10-04-2018,KP0850FB,"Rp84,000,000",36097,4,N/A,Swift Delivery,N,Vp-661,661,,,,,,,
"Chung,",Overseas,Chung@ymailx.com,Pekalongan,10-04-2018,KP0625AF,"Rp84,000,000",35713,7,N/A,JENT,Y,Pa-410,410,,,,,,,
Soetikno,Hartono,Hartono@gmailx.com,Kediri,10-03-2018,KP0925SG,"Rp30,000,000",36340,2,N/A,Wakanda Express,N,Iu-123,123,,,,,,,
Soesanto,Muchsin,Soesanto@icloudx.com,Payakumbuh,10-03-2018,KP0425CB,"Rp163,500,000",35030,6,N/A,Pru Logistic,N,Gt-559,559,,,,,,,
Andry,Harlim,Harlim@livex.com,Depok,28-09-2018,KP0350CF,"Rp280,000,000",36607,8,2,JENT,Y,Mn-409,409,,,,,,,
Mario,Dviyudha,Dviyudha@rocketmailx.com,Bukittinggi,28-09-2018,KP0850FB,"Rp63,000,000",36088,3,4,JENT,Y,Ak-559,559,,,,,,,
Sindhu,Group,Sindhu@ymailx.com,Kendari,28-09-2018,KP0850FB,"Rp189,000,000",36332,9,N/A,Cepat Kirim,N,Ls-250,250,,,,,,,
Jenny,Tirtanata,Tirtanata@ymailx.com,Medan,28-09-2018,KP0925SG,"Rp60,000,000",36693,4,N/A,JENT,Y,Dl-662,662,,,,,,,
Hindarto,Jackson,Jackson@gmailx.com,Padangpanjang,25-09-2018,KP0225BB,"Rp50,000,000",36724,5,1,JENT,Y,Tc-559,559,,,,,,,
Said,Gina,Said@gmailx.com,Binjai,24-09-2018,KP0850FB,"Rp42,000,000",35678,2,N/A,Swift Delivery,N,Dj-662,662,,,,,,,
Imelda,Nurdin,Imelda@gmailx.com,Tual,24-09-2018,KP0625AF,"Rp72,000,000",35670,6,N/A,Swift Delivery,Y,Qv-171,171,,,,,,,
Muljana,Iswandi,Muljana@icloudx.com,Serang,22-09-2018,KP0225BB,"Rp30,000,000",36096,3,N/A,Swift Delivery,N,Qb-500,500,,,,,,,
David,Tjahjanto,Tjahjanto@ymailx.com,Jakarta Utara,19-09-2018,KP0625AF,"Rp24,000,000",36995,2,4,JENT,Y,Fg-333,333,,,,,,,
Minny,Rita,Minny@icloudx.com,Probolinggo,19-09-2018,KP0425CB,"Rp218,000,000",36878,8,4,Wakanda Express,Y,Yu-123,123,,,,,,,
Djajadinata,Setiawan,Djajadinata@icloudx.com,Mataram,19-09-2018,KP0925SG,"Rp30,000,000",36260,2,N/A,JENT,Y,Yv-183,183,,,,,,,
Evi,Tjokrosapoetro,Evi@livex.com,Kendari,17-09-2018,KP0425CB,"Rp190,750,000",36927,7,N/A,Swift Delivery,Y,Sk-250,250,,,,,,,
Arianto,Zain,Arianto@gmailx.com,Jakarta Utara,17-09-2018,KP0625AF,"Rp60,000,000",36274,5,N/A,Pru Logistic,Y,Ps-333,333,,,,,,,
Rudi,Wiria,Rudi@rocketmailx.com,Blitar,15-09-2018,KP0225BB,"Rp90,000,000",36570,9,N/A,Pru Logistic,N,Ab-123,123,,,,,,,
Piong,Lisangan,Piong@mex.com,Batu,13-09-2018,KP0850FB,"Rp126,000,000",35185,6,4,Cepat Kirim,N,Se-123,123,,,,,,,
Iwan,Sim,Iwan@ymailx.com,Bontang,13-09-2018,KP0850FB,"Rp84,000,000",36496,4,N/A,Wakanda Express,Y,Ft-993,993,,,,,,,
Ernitha,Edhie,EDHIE@livex.com,Ambon,09-12-2018,KP0150BH,"Rp81,000,000",36663,3,N/A,JENT,Y,Ui-171,171,,,,,,,
Sanyo,Wen,Sanyo@livex.com,Tebingtinggi,09-10-2018,KP0350CF,"Rp245,000,000",35038,7,N/A,Cepat Kirim,N,Tu-662,662,,,,,,,
Asia,Susanto,Susanto@gmailx.com,Madiun,09-10-2018,KP0925SG,"Rp75,000,000",35993,5,N/A,Wakanda Express,Y,Th-123,123,,,,,,,
Sugianto,Mas,Mas@gmailx.com,Banjar,09-09-2018,KP0750AJ,"Rp72,000,000",36031,4,N/A,JENT,N,Xb-409,409,,,,,,,
Belinda,Sofyan,Sofyan@ymailx.com,Lubuklinggau,09-08-2018,KP0425CB,"Rp245,250,000",35483,9,2,JENT,Y,Ch-661,661,,,,,,,
Fadjar,Sung,Sung@outlookx.com,Semarang,09-04-2018,KP0925SG,"Rp75,000,000",35231,5,3,Wakanda Express,Y,Lp-410,410,,,,,,,
Didi,Boot,Didi@ymailx.com,Parepare,09-03-2018,KP0225BB,"Rp30,000,000",36462,3,1,Cepat Kirim,Y,Nk-290,290,,,,,,,
Ivan,Budiarto,Ivan@ymailx.com,Pariaman,09-02-2018,KP0750AJ,"Rp36,000,000",36747,2,2,Swift Delivery,Y,Dl-559,559,,,,,,,
Agoeng,Y.S.,Y.S.@ymailx.com,Jayapura,09-01-2018,KP0150BH,"Rp189,000,000",36430,7,N/A,JENT,Y,Jm-990,990,,,,,,,
Jacobus,Suwignjo,Jacobus@gmailx.com,Tidore Kepulauan,26-08-2018,KP0750AJ,"Rp180,000,000",36951,10,4,Cepat Kirim,Y,Fr-160,160,,,,,,,
Juwita,Achmad,Juwita@gmailx.com,Bengkulu,25-08-2018,KP0925SG,"Rp60,000,000",36194,4,5,JENT,Y,Jv-300,300,,,,,,,
Freddyanto,Ang,Freddyanto@livex.com,Payakumbuh,22-08-2018,KP0150BH,"Rp54,000,000",36160,2,4,JENT,Y,Pk-559,559,,,,,,,
Ameesh,Pacific,Ameesh@livex.com,Padang,22-08-2018,KP0425CB,"Rp163,500,000",35856,6,N/A,JENT,Y,Bz-559,559,,,,,,,
Aluinanto,Pribadi,Aluinanto@ymailx.com,Banda Aceh,21-08-2018,KP0050AG,"Rp146,250,000",36204,9,4,Cepat Kirim,Y,Ig-101,101,,,,,,,
Hartono,Liu,Hartono@ymailx.com,Jakarta Selatan,20-08-2018,KP0750AJ,"Rp108,000,000",36513,6,N/A,Pru Logistic,Y,Ie-333,333,,,,,,,
Irsanto,Imam,IRSANTO@ymailx.com,Prabumulih,20-08-2018,KP0925SG,"Rp105,000,000",35770,7,N/A,JENT,Y,Oe-661,661,,,,,,,
Ng,Tanuwidjaja,NG@mex.com,Pekalongan,20-08-2018,KP0350CF,"Rp350,000,000",36291,10,N/A,JENT,N,Sf-410,410,,,,,,,
Rudy,Sumarno,Sumarno@rocketmailx.com,Pasuruan,19-08-2018,KP0350CF,"Rp140,000,000",35466,4,N/A,Swift Delivery,N,Ko-123,123,,,,,,,
Endang,Fong,Fong@ymailx.com,Pematangsiantar,18-08-2018,KP0150BH,"Rp162,000,000",35322,6,5,Swift Delivery,Y,To-662,662,,,,,,,
Lam,Supanini,Lam@icloudx.com,Pangkalpinang,18-08-2018,KP0850FB,"Rp147,000,000",36873,7,N/A,Cepat Kirim,Y,Cl-120,120,,,,,,,
Era,Afif,Afif@outlookx.com,Jakarta Selatan,16-08-2018,KP0050AG,"Rp113,750,000",36283,7,N/A,Swift Delivery,Y,Bw-333,333,,,,,,,
Arthur,Ananto,Arthur@livex.com,Tasikmalaya,15-08-2018,KP0750AJ,"Rp72,000,000",36288,4,1,JENT,Y,Wi-409,409,,,,,,,
Prayitno,Kurniawan,KURNIAWAN@gmailx.com,Bandar Lampung,14-08-2018,KP0625AF,"Rp96,000,000",35594,8,N/A,JENT,N,Vh-150,150,,,,,,,
Herry,Lintje,Lintje@gmailx.com,Meulaboh,08-12-2018,KP0150BH,"Rp270,000,000",36514,10,N/A,Wakanda Express,Y,Lj-101,101,,,,,,,
Nurmalasari,Ricarda,Ricarda@outlookx.com,Sibolga,08-09-2018,KP0625AF,"Rp48,000,000",36530,4,4,Wakanda Express,N,Nl-662,662,,,,,,,
Sangeeta,Sulistio,Sangeeta@icloudx.com,Cirebon,08-06-2018,KP0150BH,"Rp216,000,000",36157,8,N/A,Wakanda Express,N,Ih-409,409,,,,,,,
Sengman,Fie,Sengman@livex.com,Kendari,08-05-2018,KP0850FB,"Rp42,000,000",36773,2,N/A,Wakanda Express,N,Ib-250,250,,,,,,,
Edward,Adjie,Edward@ymailx.com,Parepare,08-03-2018,KP0750AJ,"Rp72,000,000",35404,4,3,Wakanda Express,Y,Gp-290,290,,,,,,,
Melina,Rahmawaty,Melina@gmailx.com,Solok,08-03-2018,KP0925SG,"Rp45,000,000",36640,3,N/A,Wakanda Express,Y,Gk-559,559,,,,,,,
Rat,Liem,Rat@rocketmailx.com,Kupang,08-02-2018,KP0750AJ,"Rp180,000,000",35541,10,N/A,Cepat Kirim,N,Mj-185,185,,,,,,,
Ari,Christoph,Ari@gmailx.com,Malang,08-01-2018,KP0625AF,"Rp84,000,000",35319,7,N/A,Wakanda Express,Y,Lw-123,123,,,,,,,
Ewik,Suhardjo,Suhardjo@icloudx.com,Tanjungpinang,26-07-2018,KP0625AF,"Rp120,000,000",36302,10,N/A,Pru Logistic,Y,Sr-809,809,,,,,,,
Elly,Gondotirto,Elly@gmailx.com,Bitung,25-07-2018,KP0425CB,"Rp163,500,000",35527,6,N/A,JENT,Y,Bq-221,221,,,,,,,
Anthony,Eloy,Anthony@gmailx.com,Palangkaraya,25-07-2018,KP0750AJ,"Rp54,000,000",35567,3,N/A,JENT,Y,Vm-992,992,,,,,,,
Aizid,Sundoro,Sundoro@livex.com,Padang Sidempuan,23-07-2018,KP0225BB,"Rp60,000,000",35889,6,N/A,JENT,Y,In-662,662,,,,,,,
Michael,Narindra,Narindra@outlookx.com,Bogor,22-07-2018,KP0350CF,"Rp70,000,000",35773,2,3,Cepat Kirim,Y,Ew-409,409,,,,,,,
Henry,Steven,Henry@ymailx.com,Padang Sidempuan,21-07-2018,KP0850FB,"Rp210,000,000",35041,10,N/A,JENT,Y,Bu-662,662,,,,,,,
Sulaiman,Dudaney,Sulaiman@rocketmailx.com,Kotamobagu,18-07-2018,KP0625AF,"Rp72,000,000",36048,6,1,JENT,N,Zt-221,221,,,,,,,
